.Box: 24.9781454025390417,24.9781454025390417,24.9781454025390417
11.499073 9.857073 5.363073 @ 0.500000 C[0,0,1,1]
10.808073 9.272073 4.951073 @ 0.500000 C[0,0,1,1]
1.677073 10.219073 5.192073 @ 0.500000 C[0,0,1,1]
2.652073 9.928073 5.460073 @ 0.500000 C[0,0,1,1]
4.061073 9.651073 5.513073 @ 0.500000 C[0,0,1,1]
5.276073 10.469073 5.196073 @ 0.500000 C[0,0,1,1]
7.141073 10.517073 5.051073 @ 0.500000 C[0,0,1,1]
8.059073 10.122073 5.818073 @ 0.500000 C[0,0,1,1]
3.754073 12.433073 1.558073 @ 0.500000 C[0,0,1,1]
3.283073 10.596073 5.138073 @ 0.500000 C[0,0,1,1]
3.954073 11.267073 5.057073 @ 0.500000 C[0,0,1,1]
5.402073 11.415073 5.477073 @ 0.500000 C[0,0,1,1]
9.772073 11.832073 5.389073 @ 0.500000 C[0,0,1,1]
11.622073 11.027073 5.417073 @ 0.500000 C[0,0,1,1]
12.456073 11.539073 4.654073 @ 0.500000 C[0,0,1,1]
2.243073 11.157073 5.181073 @ 0.500000 C[0,0,1,1]
7.881073 12.152073 4.746073 @ 0.500000 C[0,0,1,1]
11.977073 11.888073 5.398073 @ 0.500000 C[0,0,1,1]
0.057073 5.425073 4.013073 @ 0.500000 C[0,0,1,1]
0.586073 0.264073 5.697073 @ 0.500000 C[0,0,1,1]
1.620073 10.676073 0.164073 @ 0.500000 C[0,0,1,1]
2.768073 1.087073 5.486073 @ 0.500000 C[0,0,1,1]
4.127073 1.006073 5.505073 @ 0.500000 C[0,0,1,1]
1.047073 1.520073 5.619073 @ 0.500000 C[0,0,1,1]
2.525073 2.005073 5.412073 @ 0.500000 C[0,0,1,1]
4.737073 1.738073 5.994073 @ 0.500000 C[0,0,1,1]
1.775073 2.735073 5.564073 @ 0.500000 C[0,0,1,1]
3.715073 2.094073 5.622073 @ 0.500000 C[0,0,1,1]
0.746073 1.755073 6.486073 @ 0.500000 C[0,0,1,1]
2.660073 2.871073 4.955073 @ 0.500000 C[0,0,1,1]
5.996073 2.274073 5.409073 @ 0.500000 C[0,0,1,1]
6.340073 2.202073 6.350073 @ 0.500000 C[0,0,1,1]
1.032073 3.641073 5.942073 @ 0.500000 C[0,0,1,1]
2.088073 3.665073 6.493073 @ 0.500000 C[0,0,1,1]
2.775073 3.868073 5.862073 @ 0.500000 C[0,0,1,1]
4.167073 3.390073 5.602073 @ 0.500000 C[0,0,1,1]
9.296073 3.660073 6.141073 @ 0.500000 C[0,0,1,1]
4.205073 4.552073 5.144073 @ 0.500000 C[0,0,1,1]
4.773073 4.126073 5.765073 @ 0.500000 C[0,0,1,1]
6.477073 4.381073 5.403073 @ 0.500000 C[0,0,1,1]
7.321073 4.446073 5.861073 @ 0.500000 C[0,0,1,1]
2.346073 4.723073 5.895073 @ 0.500000 C[0,0,1,1]
11.765073 5.801073 6.040073 @ 0.500000 C[0,0,1,1]
11.987073 4.889073 6.349073 @ 0.500000 C[0,0,1,1]
1.450073 5.674073 5.551073 @ 0.500000 C[0,0,1,1]
